Codice ISTAT;Descrizione ISTAT;Ateco description;Codice Completo;Codice Dotless;Codice REA (solo num)
23.70.10;Segagione e lavorazione delle pietre e del marmo;Sawing and processing of stone and marble;C.23.70.10;C237010;237010
23.70.2;Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico;Artistic processing of marble and other similar stones, mosaic work;C.23.70.2;C23702;23702
23.70.20;Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico;Artistic processing of marble and other similar stones, mosaic work;C.23.70.20;C237020;237020
23.70.3;Frantumazione di pietre e minerali vari non in connessione con l'estrazione;Crushing of various stones and minerals not in connection with mining;C.23.70.3;C23703;23703
23.70.30;Frantumazione di pietre e minerali vari non in connessione con l'estrazione;Crushing of various stones and minerals not in connection with mining;C.23.70.30;C237030;237030
23.9;FABBRICAZIONE DI PRODOTTI ABRASIVI E DI PRODOTTI IN MINERALI NON METALLIFERI N.C.A.;MANUFACTURE OF ABRASIVE PRODUCTS AND NON-METALLIC MINERAL PRODUCTS N.E.C.;C.23.9;C239;239
23.91;Produzione di prodotti abrasivi;Production of abrasive products;C.23.91;C2391;2391
23.91.0;Produzione di prodotti abrasivi;Production of abrasive products;C.23.91.0;C23910;23910
23.91.00;Produzione di prodotti abrasivi;Production of abrasive products;C.23.91.00;C239100;239100
23.99;Fabbricazione di altri prodotti in minerali non metalliferi n.c.a.;Manufacture of other non-metallic mineral products n.e.c.;C.23.99;C2399;2399
23.99.0;Fabbricazione di altri prodotti in minerali non metalliferi n.c.a.;Manufacture of other non-metallic mineral products n.e.c.;C.23.99.0;C23990;23990
23.99.00;Fabbricazione di altri prodotti in minerali non metalliferi n.c.a.;Manufacture of other non-metallic mineral products n.e.c.;C.23.99.00;C239900;239900
24;METALLURGIA;METALLURGY;C.24;C24;24
24.1;SIDERURGIA;STEEL INDUSTRY;C.24.1;C241;241
24.10;Siderurgia;STEEL INDUSTRY;C.24.10;C2410;2410
24.10.0;Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe;Iron and Steel Industry - Manufacture of Iron, Steel, and Ferroalloys;C.24.10.0;C24100;24100
24.10.00;Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe;Iron and Steel Industry - Manufacture of Iron, Steel, and Ferroalloys;C.24.10.00;C241000;241000
24.2;FABBRICAZIONE DI TUBI, CONDOTTI, PROFILATI CAVI E RELATIVI ACCESSORI IN ACCIAIO (ESCLUSI QUELLI IN ACCIAIO COLATO);MANUFACTURE OF STEEL PIPES, CONDUITS, HOLLOW PROFILES AND RELATED ACCESSORIES (EXCLUDING CAST STEEL);C.24.2;C242;242
24.20;Fabbricazione di tubi, condotti, profilati cavi e relativi accessori in acciaio (esclusi quelli in acciaio colato);MANUFACTURE OF STEEL PIPES, CONDUITS, HOLLOW PROFILES AND RELATED ACCESSORIES (EXCLUDING CAST STEEL);C.24.20;C2420;2420
24.20.1;Fabbricazione di tubi e condotti senza saldatura;Manufacturing of seamless pipes and tubes;C.24.20.1;C24201;24201
24.20.10;Fabbricazione di tubi e condotti senza saldatura;Manufacturing of seamless pipes and tubes;C.24.20.10;C242010;242010
24.20.2;Fabbricazione di tubi e condotti saldati e simili;Manufacture of welded pipes and tubes and the like;C.24.20.2;C24202;24202
24.20.20;Fabbricazione di tubi e condotti saldati e simili;Manufacture of welded pipes and tubes and the like;C.24.20.20;C242020;242020
24.3;FABBRICAZIONE DI ALTRI PRODOTTI DELLA PRIMA TRASFORMAZIONE DELL'ACCIAIO;MANUFACTURE OF OTHER PRODUCTS FROM THE FIRST TRANSFORMATION OF STEEL;C.24.3;C243;243
24.31;Stiratura a freddo di barre;Cold ironing of bars;C.24.31;C2431;2431
24.31.0;Stiratura a freddo di barre;Cold ironing of bars;C.24.31.0;C24310;24310
24.31.00;Stiratura a freddo di barre;Cold ironing of bars;C.24.31.00;C243100;243100
24.32;Laminazione a freddo di nastri;Cold rolling of strips;C.24.32;C2432;2432
24.32.0;Laminazione a freddo di nastri;Cold rolling of strips;C.24.32.0;C24320;24320
24.32.00;Laminazione a freddo di nastri;Cold rolling of strips;C.24.32.00;C243200;243200
24.33;"Profilatura mediante formatura o piegatura a freddo; fabbricazione di pannelli stratificati in acciaio";"Profiling by cold forming or bending; manufacturing of steel laminated panels";C.24.33;C2433;2433
24.33.0;"Profilatura mediante formatura o piegatura a freddo; fabbricazione di pannelli stratificati in acciaio";"Profiling by cold forming or bending; manufacturing of steel laminated panels";C.24.33.0;C24330;24330
24.33.01;Fabbricazione di pannelli stratificati in acciaio;Manufacturing of steel laminated panels;C.24.33.01;C243301;243301
24.33.02;Profilatura mediante formatura o piegatura a freddo;Profiling by cold forming or bending;C.24.33.02;C243302;243302
24.33.03;Presagomatura dell'acciaio per cemento armato;Pre-shaping of steel for reinforced concrete;C.24.33.03;C243303;243303
24.34;Trafilatura a freddo;Cold drawing;C.24.34;C2434;2434
24.34.0;Trafilatura a freddo;Cold drawing;C.24.34.0;C24340;24340
24.34.00;Trafilatura a freddo;Cold drawing;C.24.34.00;C243400;243400
24.4;PRODUZIONE DI METALLI DI BASE PREZIOSI E ALTRI METALLI NON FERROSI, TRATTAMENTO DEI COMBUSTIBILI NUCLEARI;PRODUCTION OF PRECIOUS BASE METALS AND OTHER NON-FERROUS METALS, PROCESSING OF NUCLEAR FUELS;C.24.4;C244;244
24.41;Produzione di metalli preziosi;Production of precious metals;C.24.41;C2441;2441
24.41.0;Produzione di metalli preziosi e semilavorati;Production of precious metals and semi-finished products;C.24.41.0;C24410;24410
24.41.00;Produzione di metalli preziosi e semilavorati;Production of precious metals and semi-finished products;C.24.41.00;C244100;244100
24.42;Produzione di alluminio;Aluminum production;C.24.42;C2442;2442
24.42.0;Produzione di alluminio e semilavorati;Production of aluminum and semi-finished products;C.24.42.0;C24420;24420
24.42.00;Produzione di alluminio e semilavorati;Production of aluminum and semi-finished products;C.24.42.00;C244200;244200
24.43;Produzione di piombo, zinco e stagno e semilavorati;Production of lead, zinc and tin and semi-finished products;C.24.43;C2443;2443
24.43.0;Produzione di piombo, zinco e stagno e semilavorati;Production of lead, zinc and tin and semi-finished products;C.24.43.0;C24430;24430
24.43.00;Produzione di piombo, zinco e stagno e semilavorati;Production of lead, zinc and tin and semi-finished products;C.24.43.00;C244300;244300
24.44;Produzione di rame;Copper production;C.24.44;C2444;2444
24.44.0;Produzione di rame e semilavorati;Production of copper and semi-finished products;C.24.44.0;C24440;24440
24.44.00;Produzione di rame e semilavorati;Production of copper and semi-finished products;C.24.44.00;C244400;244400
24.45;Produzione di altri metalli non ferrosi;Production of other non-ferrous metals;C.24.45;C2445;2445
24.45.0;Produzione di altri metalli non ferrosi e semilavorati;Production of other non-ferrous metals and semi-finished products;C.24.45.0;C24450;24450
24.45.00;Produzione di altri metalli non ferrosi e semilavorati;Production of other non-ferrous metals and semi-finished products;C.24.45.00;C244500;244500
24.46;Trattamento dei combustibili nucleari;Nuclear fuel processing;C.24.46;C2446;2446
24.46.0;Trattamento dei combustibili nucleari (escluso l'arricchimento di uranio e torio);Nuclear fuel processing (excluding uranium and thorium enrichment);C.24.46.0;C24460;24460
24.46.00;Trattamento dei combustibili nucleari (escluso l'arricchimento di uranio e torio);Nuclear fuel processing (excluding uranium and thorium enrichment);C.24.46.00;C244600;244600
24.5;FONDERIE;FOUNDRIES;C.24.5;C245;245
24.51;Fusione di ghisa;Cast iron casting;C.24.51;C2451;2451
24.51.0;Fusione di ghisa e produzione di tubi e raccordi in ghisa;Cast iron casting and production of cast iron pipes and fittings;C.24.51.0;C24510;24510
24.51.00;Fusione di ghisa e produzione di tubi e raccordi in ghisa;Cast iron casting and production of cast iron pipes and fittings;C.24.51.00;C245100;245100
24.52;Fusione di acciaio;Steel smelting;C.24.52;C2452;2452
24.52.0;Fusione di acciaio;Steel smelting;C.24.52.0;C24520;24520
24.52.00;Fusione di acciaio;Steel smelting;C.24.52.00;C245200;245200
24.53;Fusione di metalli leggeri;Light metal smelting;C.24.53;C2453;2453
24.53.0;Fusione di metalli leggeri;Light metal smelting;C.24.53.0;C24530;24530
24.53.00;Fusione di metalli leggeri;Light metal smelting;C.24.53.00;C245300;245300
24.54;Fusione di altri metalli non ferrosi;Smelting of other non-ferrous metals;C.24.54;C2454;2454
24.54.0;Fusione di altri metalli non ferrosi;Smelting of other non-ferrous metals;C.24.54.0;C24540;24540
24.54.00;Fusione di altri metalli non ferrosi;Smelting of other non-ferrous metals;C.24.54.00;C245400;245400
25;FABBRICAZIONE DI PRODOTTI IN METALLO (ESCLUSI MACCHINARI E ATTREZZATURE);MANUFACTURE OF METAL PRODUCTS (EXCLUDING MACHINERY AND EQUIPMENT);C.25;C25;25
25.1;FABBRICAZIONE DI ELEMENTI DA COSTRUZIONE IN METALLO;MANUFACTURE OF METAL CONSTRUCTION ELEMENTS;C.25.1;C251;251
25.11;Fabbricazione di strutture metalliche e di parti di strutture;Manufacture of metal structures and parts of structures;C.25.11;C2511;2511
25.11.0;Fabbricazione di strutture metalliche e parti assemblate di strutture;Manufacture of metal structures and assembled parts of structures;C.25.11.0;C25110;25110
25.11.00;Fabbricazione di strutture metalliche e parti assemblate di strutture;Manufacture of metal structures and assembled parts of structures;C.25.11.00;C251100;251100
25.12;Fabbricazione di porte e finestre in metallo;Manufacturing of metal doors and windows;C.25.12;C2512;2512
25.12.1;Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici;Manufacture of metal doors, windows and their frames, shutters and gates;C.25.12.1;C25121;25121
25.12.10;Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici;Manufacture of metal doors, windows and their frames, shutters and gates;C.25.12.10;C251210;251210
25.12.2;Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili;Manufacture of metal structures for awnings, Venetian blinds and similar;C.25.12.2;C25122;25122
25.12.20;Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili;Manufacture of metal structures for awnings, Venetian blinds and similar;C.25.12.20;C251220;251220
25.2;FABBRICAZIONE DI CISTERNE, SERBATOI, RADIATORI E CONTENITORI IN METALLO;MANUFACTURE OF METAL TANKS, RESERVOIRS, RADIATORS AND CONTAINERS;C.25.2;C252;252
25.21;Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale;Manufacture of radiators and metal enclosures for central heating boilers;C.25.21;C2521;2521
25.21.0;Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale;Manufacture of radiators and metal enclosures for central heating boilers;C.25.21.0;C25210;25210
25.21.00;Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale;Manufacture of radiators and metal enclosures for central heating boilers;C.25.21.00;C252100;252100
25.29;Fabbricazione di altre cisterne, serbatoi e contenitori in metallo;Manufacture of other metal tanks, reservoirs and containers;C.25.29;C2529;2529
25.29.0;Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione;Manufacture of metal tanks, reservoirs and containers for storage or production purposes;C.25.29.0;C25290;25290
25.29.00;Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione;Manufacture of metal tanks, reservoirs and containers for storage or production purposes;C.25.29.00;C252900;252900
25.3;FABBRICAZIONE DI GENERATORI DI VAPORE (ESCLUSI I CONTENITORI IN METALLO PER CALDAIE PER IL RISCALDAMENTO CENTRALE AD ACQUA CALDA);MANUFACTURE OF STEAM GENERATORS (EXCLUDING METAL HOUSINGS FOR HOT WATER CENTRAL HEATING BOILERS);C.25.3;C253;253
25.30;Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda);MANUFACTURE OF STEAM GENERATORS (EXCLUDING METAL HOUSINGS FOR HOT WATER CENTRAL HEATING BOILERS);C.25.30;C2530;2530
25.30.0;Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda);MANUFACTURE OF STEAM GENERATORS (EXCLUDING METAL HOUSINGS FOR HOT WATER CENTRAL HEATING BOILERS);C.25.30.0;C25300;25300
25.30.00;Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda);MANUFACTURE OF STEAM GENERATORS (EXCLUDING METAL HOUSINGS FOR HOT WATER CENTRAL HEATING BOILERS);C.25.30.00;C253000;253000
25.4;FABBRICAZIONE DI ARMI E MUNIZIONI;MANUFACTURE OF WEAPONS AND AMMUNITION;C.25.4;C254;254
25.40;Fabbricazione di armi e munizioni;MANUFACTURE OF WEAPONS AND AMMUNITION;C.25.40;C2540;2540
25.40.0;Fabbricazione di armi e munizioni;MANUFACTURE OF WEAPONS AND AMMUNITION;C.25.40.0;C25400;25400
25.40.00;Fabbricazione di armi e munizioni;MANUFACTURE OF WEAPONS AND AMMUNITION;C.25.40.00;C254000;254000
25.5;"FUCINATURA, IMBUTITURA, STAMPAGGIO E PROFILATURA DEI METALLI; METALLURGIA DELLE POLVERI";"FORGING, DRAWING, STAMPING AND PROFILING OF METALS; POWDER METALLURGY";C.25.5;C255;255
25.50;"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri";"FORGING, DRAWING, STAMPING AND PROFILING OF METALS; POWDER METALLURGY";C.25.50;C2550;2550
25.50.0;"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri";"FORGING, DRAWING, STAMPING AND PROFILING OF METALS; POWDER METALLURGY";C.25.50.0;C25500;25500
25.50.00;"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri";"FORGING, DRAWING, STAMPING AND PROFILING OF METALS; POWDER METALLURGY";C.25.50.00;C255000;255000
25.6;"TRATTAMENTO E RIVESTIMENTO DEI METALLI; LAVORI DI MECCANICA GENERALE";"METAL TREATMENT AND COATING; GENERAL MECHANICAL WORK";C.25.6;C256;256
25.61;Trattamento e rivestimento dei metalli;Metal treatment and coating;C.25.61;C2561;2561
25.61.0;Trattamento e rivestimento dei metalli;Metal treatment and coating;C.25.61.0;C25610;25610
25.61.00;Trattamento e rivestimento dei metalli;Metal treatment and coating;C.25.61.00;C256100;256100
25.62;Lavori di meccanica generale;General mechanical work;C.25.62;C2562;2562
25.62.0;Lavori di meccanica generale;General mechanical work;C.25.62.0;C25620;25620
25.62.00;Lavori di meccanica generale;General mechanical work;C.25.62.00;C256200;256200
25.7;FABBRICAZIONE DI ARTICOLI DI COLTELLERIA, UTENSILI E OGGETTI DI FERRAMENTA;MANUFACTURE OF CUTLERY, UTENSILS AND HARDWARE OBJECTS;C.25.7;C257;257
25.71;Fabbricazione di articoli di coltelleria e posateria;Manufacture of cutlery and flatware;C.25.71;C2571;2571
25.71.0;Fabbricazione di articoli di coltelleria, posateria ed armi bianche;Manufacture of cutlery, flatware and edged weapons;C.25.71.0;C25710;25710
25.71.00;Fabbricazione di articoli di coltelleria, posateria ed armi bianche;Manufacture of cutlery, flatware and edged weapons;C.25.71.00;C257100;257100
25.72;Fabbricazione di serrature e cerniere;Manufacturing of locks and hinges;C.25.72;C2572;2572
25.72.0;Fabbricazione di serrature e cerniere e ferramenta simili;Manufacture of locks, hinges and similar hardware;C.25.72.0;C25720;25720
25.72.00;Fabbricazione di serrature e cerniere e ferramenta simili;Manufacture of locks, hinges and similar hardware;C.25.72.00;C257200;257200
25.73;Fabbricazione di utensileria;Manufacturing of tools;C.25.73;C2573;2573
25.73.1;"Fabbricazione di utensileria ad azionamento manuale; parti intercambiabili per macchine utensili";"Manufacture of hand-operated tools; interchangeable parts for machine tools";C.25.73.1;C25731;25731
25.73.11;Fabbricazione di utensileria ad azionamento manuale;Manufacture of hand-operated tools;C.25.73.11;C257311;257311
25.73.12;Fabbricazione di parti intercambiabili per macchine utensili;Manufacturing of interchangeable parts for machine tools;C.25.73.12;C257312;257312
25.73.2;Fabbricazione di stampi, portastampi, sagome, forme per macchine;Manufacture of molds, mold holders, templates, machine forms;C.25.73.2;C25732;25732
25.73.20;Fabbricazione di stampi, portastampi, sagome, forme per macchine;Manufacture of molds, mold holders, templates, machine forms;C.25.73.20;C257320;257320
25.9;FABBRICAZIONE DI ALTRI PRODOTTI IN METALLO;MANUFACTURE OF OTHER METAL PRODUCTS;C.25.9;C259;259
25.91;Fabbricazione di bidoni in acciaio e di contenitori analoghi;Manufacture of steel drums and similar containers;C.25.91;C2591;2591
25.91.0;Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio;Manufacture of steel drums and similar containers for transportation and packaging;C.25.91.0;C25910;25910
25.91.00;Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio;Manufacture of steel drums and similar containers for transportation and packaging;C.25.91.00;C259100;259100
25.92;Fabbricazione di imballaggi leggeri in metallo;Manufacture of lightweight metal packaging;C.25.92;C2592;2592
25.92.0;Fabbricazione di imballaggi leggeri in metallo;Manufacture of lightweight metal packaging;C.25.92.0;C25920;25920
